id,cluster,cluster_probability,outlier_score
600000987849748,-1,0.0,0.32689655209316404
800000985176885,-1,0.0,0.07964793649363
500000987607837,-1,0.0,0.041021587901262445
700000986210948,-1,0.0,0.1489714048480319
400000985672059,7,1.0,0.0
200000989166379,0,1.0,0.0
200000989973521,-1,0.0,0.012961868153220422
500000987424745,0,1.0,0.0
700000986373327,7,0.9483565789491116,0.0516434210508884
100000987366191,-1,0.0,0.22295990961003942
700000987462835,-1,0.0,0.2169888370514125
800000985361944,-1,0.0,0.22455915585003447
600000987365096,6,0.5158581977480858,0.48414180225191417
300000987110204,-1,0.0,0.02936294391523291
400000985116000,3,1.0,0.0
100000987952238,6,0.6292172245881382,0.3707827754118617
700000986915071,-1,0.0,0.1455694769880844
400000985848088,-1,0.0,0.3193436323345457
300000987368602,1,0.8312611951217762,0.16873880487822382
100000988321215,-1,0.0,0.032581658685904624
600000987519670,-1,0.0,0.16329990628368382
700000986174723,-1,0.0,0.12053228335533217
800000985910730,-1,0.0,0.04042583679068403
800000986045375,-1,0.0,0.0652241909543845
500000987113980,6,1.0,0.0
300000986180835,-1,0.0,0.3463749553918922
800000986361593,1,1.0,0.0
200000989242294,6,1.0,0.0
700000986405793,-1,0.0,0.17405694746352926
500000986347690,2,1.0,0.0
600000987372957,-1,0.0,0.33487502271331987
600000988619538,-1,0.0,0.2894434500596062
800000985782623,-1,0.0,0.22503434035108694
700000986152869,-1,0.0,0.09665569082474969
600000987797178,-1,0.0,0.14655406384674927
300000986978149,-1,0.0,0.0743836076721982
200000989225228,3,1.0,0.0
500000987144381,-1,0.0,0.34935075511423336
400000986143950,1,1.0,0.0
500000987318394,-1,0.0,0.3142216988123531
800000985179027,-1,0.0,0.011129754524895005
700000986209814,4,1.0,0.0
700000987188659,-1,0.0,0.037234654637222815
800000986631324,-1,0.0,0.3448488811763007
600000987525522,-1,0.0,0.1489714048480319
300000987265212,-1,0.0,0.5840085426018891
300000987331103,2,1.0,0.0
700000986325160,-1,0.0,0.1992401791750227
100000987169652,-1,0.0,0.336200474309453
800000985182296,-1,0.0,0.15113953261940488
500000987674253,-1,0.0,0.30135837521241043
600000988394481,2,1.0,0.0
700000986851581,-1,0.0,0.03963603190668816
800000986499444,4,0.585160048348153,0.4148399516518469
100000987868294,4,1.0,0.0
800000986527437,-1,0.0,0.2576173239411427
200000988853682,-1,0.0,0.034974483204581505
700000986179154,6,0.5889383827306784,0.4110616172693215
200000989193770,0,1.0,0.0
800000985253745,-1,0.0,0.3359993025528363
400000985059482,1,1.0,0.0
700000986748674,-1,0.0,0.14773220951132326
200000989863607,-1,0.0,0.13189184207759788
700000986506894,-1,0.0,0.21023627206267315
300000987534565,7,1.0,0.0
100000987231308,-1,0.0,0.12173233906000015
500000986467530,6,0.5292399072236929,0.47076009277630715
600000988108153,6,0.5731514406313851,0.4268485593686148
800000986281954,-1,0.0,0.15349286963058156
700000987168303,7,1.0,0.0
400000985150748,4,1.0,0.0
600000988665143,-1,0.0,0.0006238113381051356
700000987717012,3,1.0,0.0
800000986297683,6,1.0,0.0
300000987061925,-1,0.0,0.026828712358592653
100000989457182,-1,0.0,0.00662396059521988
400000986726847,-1,0.0,0.20999374871641502
700000988159720,-1,0.0,0.06011655265931174
500000988527007,-1,0.0,0.07964793649363
100000989599492,8,1.0,0.0
200000991732887,8,0.1756675704847251,0.824332429515275
400000988033005,-1,0.0,0.0031314832690621363
100000988983891,-1,0.0,0.44143652448412096
100000990394951,-1,0.0,0.12237174232174497
100000989381211,9,1.0,0.0
800000987835128,-1,0.0,0.2879266126080709
400000986860400,-1,0.0,0.31500920480123196
600000990306188,8,0.15958785916186208,0.8404121408381379
100000990408916,8,0.37957645854118044,0.6204235414588196
800000988200647,-1,0.0,0.16446650411148717
500000988484930,-1,0.0,0.5658761748892346
500000988417954,9,1.0,0.0
200000991749295,-1,0.0,0.05923169638391352
500000987961589,1,0.9064766684380122,0.09352333156198774
500000987944803,-1,0.0,0.024553146871310987
500000989569041,-1,0.0,0.3691701062093548
500000987948702,-1,0.0,0.2729717578356016
700000988743779,-1,0.0,0.4230595771642938
100000989794449,8,1.0,0.0
600000989932059,-1,0.0,0.10151222901746086
700000988527066,-1,0.0,0.18707726285627319
100000989102177,-1,0.0,0.04239212443897972
300000988501153,-1,0.0,0.010705612929536265
300000989008373,-1,0.0,0.00021844447251198382
400000986633495,-1,0.0,0.11276364327028647
200000991392652,-1,0.0,0.37034790255118766
600000989193174,5,1.0,0.0
500000988048305,1,0.9852790841826183,0.014720915817381641
300000988425665,-1,0.0,0.321959782135088
300000988802503,5,1.0,0.0
100000989000040,-1,0.0,0.15581670782887333
500000988536947,-1,0.0,0.43401871418030924
100000988968043,1,0.9852790841826183,0.014720915817381641
100000988892870,-1,0.0,0.45218848148316854
700000987915630,-1,0.0,0.11416878767770947
300000989155555,-1,0.0,0.005783150629980181
700000987862472,8,0.17016920722870438,0.8298307927712956
800000986738361,8,0.8884791994112665,0.11152080058873348
400000986701220,-1,0.0,0.31854807831077075
100000989807721,8,0.27376105781343857,0.7262389421865615
100000989270611,9,1.0,0.0
800000987999145,5,1.0,0.0
700000988804854,-1,0.0,0.16813454232643654
700000988103174,-1,0.0,0.03093319905546299
700000987745439,8,0.37957645854118044,0.6204235414588196
800000986782622,-1,0.0,0.2569429413790226
400000986687535,-1,0.0,0.2359214483557072
400000987479277,5,0.34453385590450336,0.6554661440954966
600000989053370,9,0.8866248883156373,0.11337511168436265
400000987108830,-1,0.0,0.043482350215804356
200000990996368,-1,0.0,0.15336688892701056
800000987234577,5,0.3333696416486733,0.6666303583513267
500000988442790,9,0.7321419404488421,0.26785805955115793
400000986881260,8,1.0,0.0
200000991687660,-1,0.0,0.09370563645070028
700000988320909,8,0.08488023670964015,0.9151197632903598
800000987743778,-1,0.0,0.024553146871310987
500000988427019,-1,0.0,0.3688068473143012
800000986838286,-1,0.0,0.11650244473774242
800000986883548,-1,0.0,0.05401810260276653
800000987815444,-1,0.0,0.19691031911371204
600000989685127,-1,0.0,0.2729717578356016
